text,category,priority
Monitor high fever closely on Friday at 7:30 pm,Health,High
Pay electricity bill before cut off next Monday at 9:00 am,Errands,High
Monitor high fever closely tonight at 10:00 pm,Health,High
Refactor old code module tomorrow morning at 7:30 am,Work,Medium
Approve important payment before midnight today,Finance,High
Review long-term backlog items on Saturday at 4:00 pm,Work,Low
Submit deployment plan before deadline next Monday at 9:00 am,Work,High
Organize wardrobe today at 9:30 pm,Personal,Medium
Read textbook chapter calmly today at 9:30 pm,Study,Medium
Watch recorded lecture on Saturday at 4:00 pm,Study,Medium
Fix production bug immediately today at 9:30 pm,Work,High
Read health tips article today at 9:30 pm,Health,Low
Schedule emergency health checkup after dinner at 9:30 pm,Health,High
Practice yoga session before lunch at 1:00 pm,Health,Medium
Collect laundry this weekend at 5:00 pm,Errands,Medium
Review solved examples casually today at 8:00 pm,Study,Low
Prepare notes for tomorrow's test today at 9:30 pm,Study,High
Prepare healthy meal before lunch at 1:00 pm,Health,Medium
Attend important family call tomorrow at 6:30 am,Personal,High
Buy groceries after lunch at 2:30 pm,Errands,Medium
Call parents urgently this weekend at 5:00 pm,Personal,High
Plan diet chart someday tomorrow morning at 7:30 am,Health,Low
Review optional tech article before midnight today,Work,Low
Prepare healthy meal tomorrow evening at 8:00 pm,Health,Medium
Compare credit card offers tomorrow at 7:00 pm,Finance,Low
Attend important family call tomorrow at 7:00 pm,Personal,High
Window shop at mall today at 8:00 pm,Errands,Low
Refactor old code module next Tuesday at 3:00 pm,Work,Medium
Plan savings for next month today at 8:00 pm,Finance,Medium
Listen to music next Wednesday at 5:30 pm,Personal,Low
Review pull requests before midnight today,Work,Medium
Browse optional reference materials tomorrow at 7:00 pm,Study,Low
Check investment portfolio after dinner at 9:30 pm,Finance,Medium
Do home workout tomorrow evening at 8:00 pm,Health,Medium
Handle personal emergency task next Thursday at 11:00 am,Personal,High
Compare credit card offers tonight at 10:00 pm,Finance,Low
Explore supermarket offers next Monday at 9:00 am,Errands,Low
Complete tax filing before deadline on Sunday at 6:00 pm,Finance,High
Explore new online course today at 8:00 pm,Study,Low
Organize wardrobe next Monday at 9:00 am,Personal,Medium
Finish assignment due soon tonight at 10:00 pm,Study,High
Compare credit card offers next Tuesday at 3:00 pm,Finance,Low
Watch recorded lecture next Thursday at 11:00 am,Study,Medium
Refill gas cylinder soon after lunch at 2:30 pm,Errands,High
Plan study schedule for the week tonight at 10:00 pm,Study,Medium
Do home workout next Tuesday at 3:00 pm,Health,Medium
Practice yoga session this weekend at 5:00 pm,Health,Medium
Experiment with new library next Monday at 9:00 am,Work,Low
Talk to close friend about urgent issue on Sunday at 6:00 pm,Personal,High
Read tech blog article next Monday at 9:00 am,Study,Low
Pick up urgent courier today at 8:00 pm,Errands,High
Summarize class notes tomorrow morning at 7:30 am,Study,Medium
Finish critical project report this weekend at 5:00 pm,Work,High
Visit ATM to withdraw cash next Monday at 9:00 am,Errands,Medium
Attend important family call tomorrow at 6:30 am,Personal,High
Update expense tracker this weekend at 5:00 pm,Finance,Medium
Handle severe health issue tomorrow at 6:30 am,Health,High
Finish critical project report on Sunday at 6:00 pm,Work,High
Practice a few coding problems tomorrow at 7:00 pm,Study,Medium
Complete sprint tasks ASAP before lunch at 1:00 pm,Work,High
Resolve bank account issue after lunch at 2:30 pm,Finance,High
Transfer rent to landlord tonight at 10:00 pm,Finance,High
Recharge mobile plan before expiry next Wednesday at 5:30 pm,Errands,High
Scroll social media freely next Tuesday at 3:00 pm,Personal,Low
Look at furniture options tomorrow at 7:00 pm,Errands,Low
Research mutual funds on Sunday at 6:00 pm,Finance,Low
Visit ATM to withdraw cash tomorrow morning at 7:30 am,Errands,Medium
Complete sprint tasks ASAP next Thursday at 11:00 am,Work,High
Complete critical personal work next Tuesday at 3:00 pm,Personal,High
Get bike serviced tomorrow evening at 8:00 pm,Errands,Medium
Watch recorded lecture today at 8:00 pm,Study,Medium
Watch a relaxing movie before lunch at 1:00 pm,Personal,Low
Prepare client presentation urgently tomorrow evening at 8:00 pm,Work,High
Watch a relaxing movie tomorrow at 6:30 am,Personal,Low
Resolve bank account issue after lunch at 2:30 pm,Finance,High
Compare credit card offers after dinner at 9:30 pm,Finance,Low
Talk to close friend about urgent issue on Saturday at 4:00 pm,Personal,High
Track calories after dinner this weekend at 5:00 pm,Health,Medium
Review solved examples casually next Thursday at 11:00 am,Study,Low
Prepare notes for tomorrow's test on Friday at 7:30 pm,Study,High
Complete sprint tasks ASAP on Friday at 7:30 pm,Work,High
Complete critical personal work next Monday at 9:00 am,Personal,High
Browse optional reference materials tomorrow at 6:30 am,Study,Low
Complete critical personal work tomorrow at 7:00 pm,Personal,High
Finish assignment due soon before lunch at 1:00 pm,Study,High
Call parents urgently today at 8:00 pm,Personal,High
Watch recorded lecture tomorrow morning at 7:30 am,Study,Medium
Browse memes for fun tomorrow at 7:00 pm,Personal,Low
Prepare client presentation urgently after lunch at 2:30 pm,Work,High
Read textbook chapter calmly next Wednesday at 5:30 pm,Study,Medium
Review solved examples casually before lunch at 1:00 pm,Study,Low
Summarize class notes tonight at 10:00 pm,Study,Medium
Review optional tech article after lunch at 2:30 pm,Work,Low
Watch fitness video next Thursday at 11:00 am,Health,Low
Go for evening walk after dinner at 9:30 pm,Health,Medium
Revise important exam chapters after dinner at 9:30 pm,Study,High
Journal about the day tonight at 10:00 pm,Personal,Medium
Submit important form before midnight today,Errands,High
Complete tax filing before deadline tomorrow at 7:00 pm,Finance,High
Attend important family call next Wednesday at 5:30 pm,Personal,High
Approve important payment after lunch at 2:30 pm,Finance,High
Resolve bank account issue before midnight today,Finance,High
Transfer rent to landlord this weekend at 5:00 pm,Finance,High
Download bank statements on Sunday at 6:00 pm,Finance,Medium
Experiment with new library on Friday at 7:30 pm,Work,Low
Prepare client presentation urgently next Thursday at 11:00 am,Work,High
Get bike serviced before lunch at 1:00 pm,Errands,Medium
Check investment portfolio on Saturday at 4:00 pm,Finance,Medium
Explore supermarket offers tomorrow at 7:00 pm,Errands,Low
Read health tips article tonight at 10:00 pm,Health,Low
Take important medication next Wednesday at 5:30 pm,Health,High
Resolve bank account issue after dinner at 9:30 pm,Finance,High
Plan tasks for next sprint next Tuesday at 3:00 pm,Work,Medium
Experiment with new library next Tuesday at 3:00 pm,Work,Low
Read textbook chapter calmly tomorrow morning at 7:30 am,Study,Medium
Take important medication today at 9:30 pm,Health,High
Prepare healthy meal next Tuesday at 3:00 pm,Health,Medium
Track calories after dinner next Monday at 9:00 am,Health,Medium
Schedule emergency health checkup next Tuesday at 3:00 pm,Health,High
Prepare client presentation urgently on Friday at 7:30 pm,Work,High
Complete tax filing before deadline next Tuesday at 3:00 pm,Finance,High
Visit doctor immediately before lunch at 1:00 pm,Health,High
Catch up with friend on call on Friday at 7:30 pm,Personal,Medium
Review monthly budget before lunch at 1:00 pm,Finance,Medium
Get bike serviced next Wednesday at 5:30 pm,Errands,Medium
Read finance blog today at 9:30 pm,Finance,Low
Check out new store nearby next Wednesday at 5:30 pm,Errands,Low
Review monthly budget today at 9:30 pm,Finance,Medium
Complete sprint tasks ASAP after dinner at 9:30 pm,Work,High
Explore new online course before midnight today,Study,Low
Prepare notes for tomorrow's test next Tuesday at 3:00 pm,Study,High
Review monthly budget this weekend at 5:00 pm,Finance,Medium
Approve important payment on Sunday at 6:00 pm,Finance,High
Visit ATM to withdraw cash after dinner at 9:30 pm,Errands,Medium
Approve important payment on Saturday at 4:00 pm,Finance,High
Skim through extra readings next Tuesday at 3:00 pm,Study,Low
Complete tax filing before deadline on Friday at 7:30 pm,Finance,High
Approve important payment next Monday at 9:00 am,Finance,High
Recharge mobile plan before expiry on Friday at 7:30 pm,Errands,High
Revise important exam chapters next Thursday at 11:00 am,Study,High
Review long-term backlog items next Thursday at 11:00 am,Work,Low
Review pull requests tomorrow morning at 7:30 am,Work,Medium
Do home workout after dinner at 9:30 pm,Health,Medium
Update project documentation on Sunday at 6:00 pm,Work,Medium
Read textbook chapter calmly next Thursday at 11:00 am,Study,Medium
Listen to music next Wednesday at 5:30 pm,Personal,Low
Call parents urgently on Saturday at 4:00 pm,Personal,High
Read textbook chapter calmly next Tuesday at 3:00 pm,Study,Medium
Read tech blog article next Monday at 9:00 am,Study,Low
Read tech blog article next Monday at 9:00 am,Study,Low
Check investment portfolio tomorrow morning at 7:30 am,Finance,Medium
Handle personal emergency task tomorrow evening at 8:00 pm,Personal,High
Clean up old branches in git tomorrow morning at 7:30 am,Work,Low
Schedule emergency health checkup before lunch at 1:00 pm,Health,High
Plan study schedule for the week after lunch at 2:30 pm,Study,Medium
Read textbook chapter calmly on Saturday at 4:00 pm,Study,Medium
Handle personal emergency task this weekend at 5:00 pm,Personal,High
Pick up urgent courier next Tuesday at 3:00 pm,Errands,High
Compare credit card offers next Monday at 9:00 am,Finance,Low
Recharge mobile plan before expiry tomorrow evening at 8:00 pm,Errands,High
Scroll social media freely next Tuesday at 3:00 pm,Personal,Low
Plan tasks for next sprint before lunch at 1:00 pm,Work,Medium
Review solved examples casually next Tuesday at 3:00 pm,Study,Low
Practice coding problems urgently next Wednesday at 5:30 pm,Study,High
Approve important payment tomorrow morning at 7:30 am,Finance,High
Explore supermarket offers before lunch at 1:00 pm,Errands,Low
Transfer rent to landlord tomorrow at 6:30 am,Finance,High
Complete critical personal work tomorrow at 6:30 am,Personal,High
Browse memes for fun tonight at 10:00 pm,Personal,Low
Scroll social media freely today at 8:00 pm,Personal,Low
Finish critical project report today at 8:00 pm,Work,High
Revise important exam chapters tomorrow evening at 8:00 pm,Study,High
Catch up with friend on call today at 9:30 pm,Personal,Medium
Practice yoga session next Tuesday at 3:00 pm,Health,Medium
Download bank statements after dinner at 9:30 pm,Finance,Medium
Transfer rent to landlord tomorrow at 7:00 pm,Finance,High
Talk to close friend about urgent issue today at 9:30 pm,Personal,High
Visit doctor immediately on Sunday at 6:00 pm,Health,High
Do home workout next Wednesday at 5:30 pm,Health,Medium
Read a novel chapter tomorrow at 6:30 am,Personal,Low
Organize wardrobe after lunch at 2:30 pm,Personal,Medium
Buy groceries on Sunday at 6:00 pm,Errands,Medium
Experiment with new library before midnight today,Work,Low
Revise important exam chapters next Wednesday at 5:30 pm,Study,High
Prepare client presentation urgently next Wednesday at 5:30 pm,Work,High
Visit doctor immediately this weekend at 5:00 pm,Health,High
Research new workout ideas before midnight today,Health,Low
Update expense tracker after dinner at 9:30 pm,Finance,Medium
Monitor high fever closely on Friday at 7:30 pm,Health,High
Review pull requests tomorrow evening at 8:00 pm,Work,Medium
Browse memes for fun next Tuesday at 3:00 pm,Personal,Low
Approve important payment on Saturday at 4:00 pm,Finance,High
Submit deployment plan before deadline tomorrow at 6:30 am,Work,High
Handle severe health issue tomorrow evening at 8:00 pm,Health,High
Refactor old code module on Saturday at 4:00 pm,Work,Medium
Plan diet chart someday on Saturday at 4:00 pm,Health,Low
Clean room properly next Tuesday at 3:00 pm,Personal,Medium
Finish assignment due soon tonight at 10:00 pm,Study,High
Get bike serviced after lunch at 2:30 pm,Errands,Medium
Window shop at mall before lunch at 1:00 pm,Errands,Low
Review optional tech article tonight at 10:00 pm,Work,Low
Download bank statements on Sunday at 6:00 pm,Finance,Medium
Complete critical personal work before lunch at 1:00 pm,Personal,High
Complete sprint tasks ASAP tonight at 10:00 pm,Work,High
Plan savings for next month after lunch at 2:30 pm,Finance,Medium
Schedule emergency health checkup next Monday at 9:00 am,Health,High
Review optional tech article next Thursday at 11:00 am,Work,Low
Experiment with new library on Saturday at 4:00 pm,Work,Low
Go for evening walk tomorrow morning at 7:30 am,Health,Medium
Complete critical personal work before lunch at 1:00 pm,Personal,High
Review optional tech article tomorrow evening at 8:00 pm,Work,Low
Complete tax filing before deadline this weekend at 5:00 pm,Finance,High
Solve previous year question papers on Friday at 7:30 pm,Study,High
Review monthly budget on Saturday at 4:00 pm,Finance,Medium
Refactor old code module tomorrow morning at 7:30 am,Work,Medium
Listen to music after dinner at 9:30 pm,Personal,Low
Finish critical project report tomorrow morning at 7:30 am,Work,High
Read finance blog this weekend at 5:00 pm,Finance,Low
Get bike serviced after lunch at 2:30 pm,Errands,Medium
Do home workout tonight at 10:00 pm,Health,Medium
Explore new investment options tonight at 10:00 pm,Finance,Low
Submit important form next Thursday at 11:00 am,Errands,High
Watch video on budgeting today at 8:00 pm,Finance,Low
Plan savings for next month next Wednesday at 5:30 pm,Finance,Medium
Watch fitness video after lunch at 2:30 pm,Health,Low
Plan weekend outing after lunch at 2:30 pm,Personal,Medium
Explore supermarket offers next Wednesday at 5:30 pm,Errands,Low
Do home workout next Wednesday at 5:30 pm,Health,Medium
Check investment portfolio this weekend at 5:00 pm,Finance,Medium
Pay electricity bill before cut off on Friday at 7:30 pm,Errands,High
Organize project folders on Friday at 7:30 pm,Work,Low
Talk to close friend about urgent issue before lunch at 1:00 pm,Personal,High
Experiment with new library today at 8:00 pm,Work,Low
Plan diet chart someday on Saturday at 4:00 pm,Health,Low
Refactor old code module next Wednesday at 5:30 pm,Work,Medium
Fix production bug immediately next Tuesday at 3:00 pm,Work,High
Recharge mobile plan before expiry after lunch at 2:30 pm,Errands,High
Complete critical personal work before lunch at 1:00 pm,Personal,High
Talk to close friend about urgent issue before midnight today,Personal,High
Transfer rent to landlord today at 8:00 pm,Finance,High
Pay electricity bill before cut off on Sunday at 6:00 pm,Errands,High
Read a novel chapter next Tuesday at 3:00 pm,Personal,Low
Window shop at mall before lunch at 1:00 pm,Errands,Low
Do home workout next Wednesday at 5:30 pm,Health,Medium
Clean room properly next Tuesday at 3:00 pm,Personal,Medium
Read tech blog article next Tuesday at 3:00 pm,Study,Low
Experiment with new library next Tuesday at 3:00 pm,Work,Low
Review monthly budget tomorrow evening at 8:00 pm,Finance,Medium
Review solved examples casually tomorrow morning at 7:30 am,Study,Low
Approve important payment after dinner at 9:30 pm,Finance,High
Plan tasks for next sprint tomorrow at 6:30 am,Work,Medium
Finish assignment due soon this weekend at 5:00 pm,Study,High
Schedule emergency health checkup tomorrow at 6:30 am,Health,High
Organize wardrobe tomorrow at 7:00 pm,Personal,Medium
Track calories after dinner tomorrow morning at 7:30 am,Health,Medium
Experiment with new library on Friday at 7:30 pm,Work,Low
Journal about the day on Sunday at 6:00 pm,Personal,Medium
Do light stretching before midnight today,Health,Low
Catch up with friend on call tomorrow at 7:00 pm,Personal,Medium
Practice yoga session next Tuesday at 3:00 pm,Health,Medium
Experiment with new library tomorrow at 7:00 pm,Work,Low
Explore supermarket offers on Friday at 7:30 pm,Errands,Low
Review long-term backlog items next Tuesday at 3:00 pm,Work,Low
Plan weekend outing tomorrow at 7:00 pm,Personal,Medium
Resolve bank account issue next Wednesday at 5:30 pm,Finance,High
Watch a relaxing movie tomorrow at 6:30 am,Personal,Low
Collect laundry tomorrow morning at 7:30 am,Errands,Medium
Skim through extra readings before lunch at 1:00 pm,Study,Low
Attend important family call on Saturday at 4:00 pm,Personal,High
Review solved examples casually on Sunday at 6:00 pm,Study,Low
Drop parcel at post office after lunch at 2:30 pm,Errands,Medium
Buy groceries after lunch at 2:30 pm,Errands,Medium
Explore new online course after dinner at 9:30 pm,Study,Low
Visit doctor immediately after dinner at 9:30 pm,Health,High
Journal about the day next Thursday at 11:00 am,Personal,Medium
Check out new store nearby after dinner at 9:30 pm,Errands,Low
Clean room properly next Tuesday at 3:00 pm,Personal,Medium
Do home workout tomorrow morning at 7:30 am,Health,Medium
Get bike serviced after dinner at 9:30 pm,Errands,Medium
Solve previous year question papers after lunch at 2:30 pm,Study,High
Finish critical project report before lunch at 1:00 pm,Work,High
Catch up with friend on call next Tuesday at 3:00 pm,Personal,Medium
Take important medication on Friday at 7:30 pm,Health,High
Catch up with friend on call after dinner at 9:30 pm,Personal,Medium
Practice coding problems urgently after dinner at 9:30 pm,Study,High
Review solved examples casually this weekend at 5:00 pm,Study,Low
Monitor high fever closely next Tuesday at 3:00 pm,Health,High
Plan savings for next month tomorrow at 7:00 pm,Finance,Medium
Talk to close friend about urgent issue after dinner at 9:30 pm,Personal,High
Research mutual funds tomorrow evening at 8:00 pm,Finance,Low
Visit ATM to withdraw cash after dinner at 9:30 pm,Errands,Medium
Explore new online course tomorrow morning at 7:30 am,Study,Low
Explore supermarket offers before midnight today,Errands,Low
Experiment with new library next Monday at 9:00 am,Work,Low
Complete critical personal work before midnight today,Personal,High
Watch a relaxing movie before midnight today,Personal,Low
Check out new store nearby tomorrow evening at 8:00 pm,Errands,Low
Browse optional reference materials after lunch at 2:30 pm,Study,Low
Plan tasks for next sprint tomorrow evening at 8:00 pm,Work,Medium
Submit important form today at 8:00 pm,Errands,High
Plan weekend outing next Thursday at 11:00 am,Personal,Medium
Go for evening walk on Sunday at 6:00 pm,Health,Medium
Talk to close friend about urgent issue next Wednesday at 5:30 pm,Personal,High
Go for evening walk on Sunday at 6:00 pm,Health,Medium
Get bike serviced next Monday at 9:00 am,Errands,Medium
Check out new store nearby next Tuesday at 3:00 pm,Errands,Low
Browse items online after dinner at 9:30 pm,Errands,Low
Visit doctor immediately next Tuesday at 3:00 pm,Health,High
Collect laundry after lunch at 2:30 pm,Errands,Medium
Prepare healthy meal after lunch at 2:30 pm,Health,Medium
Check investment portfolio on Saturday at 4:00 pm,Finance,Medium
Submit important form before midnight today,Errands,High
Skim through extra readings tomorrow at 7:00 pm,Study,Low
Finish assignment due soon on Friday at 7:30 pm,Study,High
Browse items online tomorrow at 7:00 pm,Errands,Low
Watch video on budgeting next Thursday at 11:00 am,Finance,Low
Review long-term backlog items before midnight today,Work,Low
Practice yoga session tomorrow morning at 7:30 am,Health,Medium
Research mutual funds today at 9:30 pm,Finance,Low
Clean room properly tomorrow evening at 8:00 pm,Personal,Medium
Handle severe health issue next Monday at 9:00 am,Health,High
Practice coding problems urgently next Monday at 9:00 am,Study,High
Plan study schedule for the week next Monday at 9:00 am,Study,Medium
Finish critical project report today at 8:00 pm,Work,High
Complete critical personal work tomorrow morning at 7:30 am,Personal,High
Pay electricity bill before cut off tonight at 10:00 pm,Errands,High
Clean up old branches in git tomorrow morning at 7:30 am,Work,Low
Journal about the day before lunch at 1:00 pm,Personal,Medium
Refill gas cylinder soon tomorrow morning at 7:30 am,Errands,High
Drop parcel at post office next Tuesday at 3:00 pm,Errands,Medium
Recharge mobile plan before expiry next Monday at 9:00 am,Errands,High
Handle personal emergency task tomorrow at 6:30 am,Personal,High
Browse optional reference materials on Friday at 7:30 pm,Study,Low
Attend important family call on Sunday at 6:00 pm,Personal,High
Resolve bank account issue next Tuesday at 3:00 pm,Finance,High
Handle personal emergency task next Thursday at 11:00 am,Personal,High
Complete sprint tasks ASAP next Thursday at 11:00 am,Work,High
Browse items online next Thursday at 11:00 am,Errands,Low
Handle severe health issue this weekend at 5:00 pm,Health,High
Watch fitness video after dinner at 9:30 pm,Health,Low
Browse optional reference materials tomorrow at 6:30 am,Study,Low
Practice a few coding problems tonight at 10:00 pm,Study,Medium
Fix production bug immediately next Thursday at 11:00 am,Work,High
Clean room properly next Thursday at 11:00 am,Personal,Medium
Check investment portfolio on Sunday at 6:00 pm,Finance,Medium
Plan tasks for next sprint before midnight today,Work,Medium
Clean up old branches in git on Sunday at 6:00 pm,Work,Low
Watch recorded lecture next Monday at 9:00 am,Study,Medium
Explore supermarket offers after dinner at 9:30 pm,Errands,Low
Approve important payment today at 9:30 pm,Finance,High
Solve previous year question papers next Monday at 9:00 am,Study,High
Resolve bank account issue tomorrow evening at 8:00 pm,Finance,High
Complete tax filing before deadline after lunch at 2:30 pm,Finance,High
Resolve bank account issue before lunch at 1:00 pm,Finance,High
Plan savings for next month tomorrow evening at 8:00 pm,Finance,Medium
Research mutual funds next Thursday at 11:00 am,Finance,Low
Complete sprint tasks ASAP today at 8:00 pm,Work,High
Prepare healthy meal next Tuesday at 3:00 pm,Health,Medium
Prepare healthy meal next Monday at 9:00 am,Health,Medium
Submit deployment plan before deadline before midnight today,Work,High
Review solved examples casually tomorrow at 7:00 pm,Study,Low
Approve important payment tomorrow morning at 7:30 am,Finance,High
Plan study schedule for the week next Thursday at 11:00 am,Study,Medium
Review design mockups next Monday at 9:00 am,Work,Medium
Review optional tech article next Thursday at 11:00 am,Work,Low
Update expense tracker next Monday at 9:00 am,Finance,Medium
Watch video on budgeting tomorrow morning at 7:30 am,Finance,Low
Read a novel chapter on Sunday at 6:00 pm,Personal,Low
Plan diet chart someday next Wednesday at 5:30 pm,Health,Low
Compare credit card offers on Sunday at 6:00 pm,Finance,Low
Review solved examples casually today at 9:30 pm,Study,Low
Pay electricity bill before cut off tomorrow evening at 8:00 pm,Errands,High
Take important medication next Wednesday at 5:30 pm,Health,High
Transfer rent to landlord tomorrow at 7:00 pm,Finance,High
Clean room properly after lunch at 2:30 pm,Personal,Medium
Review optional tech article this weekend at 5:00 pm,Work,Low
Browse items online today at 9:30 pm,Errands,Low
Watch video on budgeting today at 8:00 pm,Finance,Low
Do light stretching this weekend at 5:00 pm,Health,Low
Review pull requests tomorrow evening at 8:00 pm,Work,Medium
Do home workout after dinner at 9:30 pm,Health,Medium
Prepare healthy meal tomorrow at 6:30 am,Health,Medium
Solve previous year question papers on Saturday at 4:00 pm,Study,High
Watch fitness video tonight at 10:00 pm,Health,Low
Review solved examples casually before midnight today,Study,Low
Check out new store nearby next Wednesday at 5:30 pm,Errands,Low
Do home workout on Sunday at 6:00 pm,Health,Medium
Schedule emergency health checkup after lunch at 2:30 pm,Health,High
Experiment with new library after lunch at 2:30 pm,Work,Low
